ASN,Count,Cumul_C,Share,Cumul_S,ASName,ASCountry
36473,8,6527,0.0852605776404135%,69.56197378237238%,BLACKMESH-RST,US
38631,8,6535,0.0852605776404135%,69.64723436001279%,LINE LINE Corporation,JP
55990,8,6543,0.0852605776404135%,69.7324949376532%,HWCSNET Huawei Cloud Service data center,CN
56173,8,6551,0.0852605776404135%,69.81775551529361%,YAHOO-SG3 internet content provider,SG
237,7,6558,0.07460300543536183%,69.89235852072898%,MERIT-AS-14,US
701,7,6565,0.07460300543536183%,69.96696152616434%,UUNET,US
1103,7,6572,0.07460300543536183%,70.0415645315997%,SURFNET-NL SURFnet The Netherlands,NL
2852,7,6579,0.07460300543536183%,70.11616753703507%,CESNET2,CZ
3209,7,6586,0.07460300543536183%,70.19077054247043%,VODANET International IP-Backbone of Vodafone,DE
3462,7,6593,0.07460300543536183%,70.26537354790578%,HINET Data Communication Business Group,TW
3701,7,6600,0.07460300543536183%,70.33997655334115%,NERONET,US
4713,7,6607,0.07460300543536183%,70.41457955877651%,OCN NTT Communications Corporation,JP
4766,7,6614,0.07460300543536183%,70.48918256421187%,KIXS-AS-KR Korea Telecom,KR
4847,7,6621,0.07460300543536183%,70.56378556964724%,CNIX-AP China Networks Inter-Exchange,CN
7922,7,6628,0.07460300543536183%,70.6383885750826%,COMCAST-7922,US
12876,7,6635,0.07460300543536183%,70.71299158051796%,Online SAS,FR
19574,7,6642,0.07460300543536183%,70.78759458595331%,CSC,US
39572,7,6649,0.07460300543536183%,70.86219759138869%,ADVANCEDHOSTERS-AS,NL
58543,7,6656,0.07460300543536183%,70.93680059682404%,CHINATELECOM-GUANGDONG-IDC Guangdong,CN
64267,7,6663,0.07460300543536183%,71.0114036022594%,AS-SPRIO,US
198610,7,6670,0.07460300543536183%,71.08600660769476%,BEGET-AS,RU
553,6,6676,0.06394543323031014%,71.14995204092509%,BELWUE BelWue-Koordination,EU
1142,6,6682,0.06394543323031014%,71.21389747415539%,WKAPNET Springer Science and Business Media B.V.,NL
1653,6,6688,0.06394543323031014%,71.2778429073857%,SUNET SUNET Swedish University Network,EU
4694,6,6694,0.06394543323031014%,71.341788340616%,IDCF IDC Frontier Inc.,JP
6130,6,6700,0.06394543323031014%,71.40573377384631%,AIS-WEST,US
6354,6,6706,0.06394543323031014%,71.46967920707664%,LYCOS,US
7203,6,6712,0.06394543323031014%,71.53362464030694%,LEASEWEB-USA-SFO-12,US
7575,6,6718,0.06394543323031014%,71.59757007353726%,AARNET-AS-AP Australian Academic and Research Network (AARNet),AU
7941,6,6724,0.06394543323031014%,71.66151550676756%,INTERNET-ARCHIVE,US
9808,6,6730,0.06394543323031014%,71.72546093999786%,CMNET-GD Guangdong Mobile Communication Co.Ltd.,CN
10229,6,6736,0.06394543323031014%,71.78940637322818%,YAHOO-TW1 Internet Content Provider,TW
13041,6,6742,0.06394543323031014%,71.85335180645849%,CESCA-AC,ES
14413,6,6748,0.06394543323031014%,71.9172972396888%,LINKEDIN,US
14627,6,6754,0.06394543323031014%,71.98124267291911%,NOIP-VITAL,US
19527,6,6760,0.06394543323031014%,72.04518810614941%,GOOGLE-2,US
24429,6,6766,0.06394543323031014%,72.10913353937973%,TAOBAO Zhejiang Taobao Network Co. Ltd,CN
25878,6,6772,0.06394543323031014%,72.17307897261004%,QNST-DC01,US
32787,6,6778,0.06394543323031014%,72.23702440584034%,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK,US
34788,6,6784,0.06394543323031014%,72.30096983907066%,NMM-AS D - 02742 Friedersdorf  Hauptstrasse 68,DE
43541,6,6790,0.06394543323031014%,72.36491527230096%,VSHOSTING,CZ
47541,6,6796,0.06394543323031014%,72.42886070553128%,VKONTAKTE-SPB-AS http://vk.com,RU
51167,6,6802,0.06394543323031014%,72.4928061387616%,CONTABO,DE
55002,6,6808,0.06394543323031014%,72.5567515719919%,DEFENSE-NET,US
134764,6,6814,0.06394543323031014%,72.62069700522221%,CT-FOSHAN-IDC CHINANET Guangdong province network,CN
204343,6,6820,0.06394543323031014%,72.68464243845251%,COMPUBYTE-AS,RU
224,5,6825,0.05328786102525845%,72.73793029947778%,UNINETT UNINETT The Norwegian University & Research Network,NO
378,5,6830,0.05328786102525845%,72.79121816050304%,MACHBA-AS ILAN,IL
1659,5,6835,0.05328786102525845%,72.8445060215283%,ERX-TANET-ASN1 Taiwan Academic Network (TANet) Information Center,TW
1930,5,6840,0.05328786102525845%,72.89779388255356%,RCCN Fundacao para a Ciencia e a Tecnologia I.P.,PT
7381,5,6845,0.05328786102525845%,72.95108174357881%,SRS-6-Z-7381,US
8220,5,6850,0.05328786102525845%,73.00436960460407%,COLT COLT Technology Services Group Limited,GB
8520,5,6855,0.05328786102525845%,73.05765746562933%,DUNKEL,DE
8659,5,6860,0.05328786102525845%,73.11094532665459%,AS8659,CH
10361,5,6865,0.05328786102525845%,73.16423318767986%,BLOOMBERG-NET,US
12322,5,6870,0.05328786102525845%,73.21752104870511%,PROXAD,FR
13414,5,6875,0.05328786102525845%,73.27080890973036%,TWITTER,US
13506,5,6880,0.05328786102525845%,73.32409677075562%,US-DEPARTMENT-OF-THE-TREASURY,US
14320,5,6885,0.05328786102525845%,73.37738463178088%,MEREDITHCORP,US
15130,5,6890,0.05328786102525845%,73.43067249280614%,USDOJ-GOV,US
19324,5,6895,0.05328786102525845%,73.4839603538314%,DOSARREST,US
22903,5,6900,0.05328786102525845%,73.53724821485666%,EDGE-HOSTING,US
23033,5,6905,0.05328786102525845%,73.59053607588191%,WOW,US
23650,5,6910,0.05328786102525845%,73.64382393690717%,CHINANET-JIANGSU-PROVINCE-IDC AS Number for CHINANET jiangsu province backbone,CN
26101,5,6915,0.05328786102525845%,73.69711179793244%,YAHOO-BF1,US
27365,5,6920,0.05328786102525845%,73.75039965895769%,CENGAGE-OHCIN,US
29791,5,6925,0.05328786102525845%,73.80368751998296%,VOXEL-DOT-NET,US
36856,5,6930,0.05328786102525845%,73.85697538100821%,MOZILLA-MDC1,US
45062,5,6935,0.05328786102525845%,73.91026324203347%,NETEASE-AS Guangzhou NetEase Computer System Co. Ltd.,CN
46562,5,6940,0.05328786102525845%,73.96355110305872%,TOTAL-SERVER-SOLUTIONS,US
57724,5,6945,0.05328786102525845%,74.01683896408399%,DDOS-GUARD,RU
58461,5,6950,0.05328786102525845%,74.07012682510924%,CT-HANGZHOU-IDC No.288 Fu-chun Road,CN
58563,5,6955,0.05328786102525845%,74.12341468613451%,CHINATELECOM-HUBEI-IDC CHINANET Hubei province network,CN
60144,5,6960,0.05328786102525845%,74.17670254715975%,THREE-W-INFRA-AS -- TRANSIT --,NL
133775,5,6965,0.05328786102525845%,74.22999040818502%,CHINATELECOM-FUJIAN-XIAMEN-IDC1 Xiamen,CN
87,4,6969,0.04263028882020675%,74.27262069700522%,INDIANA-AS,US
1741,4,6973,0.04263028882020675%,74.31525098582543%,FUNETAS,FI
1916,4,6977,0.04263028882020675%,74.35788127464564%,Associacao Rede Nacional de Ensino e Pesquisa,BR
2516,4,6981,0.04263028882020675%,74.40051156346584%,KDDI KDDI CORPORATION,JP
3303,4,6985,0.04263028882020675%,74.44314185228606%,SWISSCOM Swisscom (Switzerland) Ltd,CH
3320,4,6989,0.04263028882020675%,74.48577214110625%,DTAG Internet service provider operations,DE
3352,4,6993,0.04263028882020675%,74.52840242992647%,TELEFONICA_DE_ESPANA,ES
3549,4,6997,0.04263028882020675%,74.57103271874666%,LVLT-3549,US
4611,4,7001,0.04263028882020675%,74.61366300756687%,XINHUANET-AS CNNIC member,CN
5089,4,7005,0.04263028882020675%,74.65629329638709%,NTL,GB
7497,4,7009,0.04263028882020675%,74.69892358520728%,CSTNET-AS-AP Computer Network Information Center,CN
7753,4,7013,0.04263028882020675%,74.7415538740275%,GREENCLOUD,US
8304,4,7017,0.04263028882020675%,74.7841841628477%,ECRITEL-FRANCE ISP and web hosting.,FR
8342,4,7021,0.04263028882020675%,74.82681445166791%,RTCOMM-AS,RU
8767,4,7025,0.04263028882020675%,74.8694447404881%,MNET-AS Germany,DE
9802,4,7029,0.04263028882020675%,74.91207502930833%,CHINA-ABITCOOL Abitcool(China) Inc.,CN
9924,4,7033,0.04263028882020675%,74.95470531812853%,TFN-TW Taiwan Fixed Network Telco and Network Service Provider.,TW
10954,4,7037,0.04263028882020675%,74.99733560694874%,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,BR
11420,4,7041,0.04263028882020675%,75.03996589576894%,TRIBUNE-PUBLISHING-COMPANY,US
12337,4,7045,0.04263028882020675%,75.08259618458915%,NORIS-NETWORK IT Service Provider located in Nuernberg Germany,DE
13649,4,7049,0.04263028882020675%,75.12522647340936%,ASN-VINS,US
14782,4,7053,0.04263028882020675%,75.16785676222956%,THEROCKETSCIENCEGROUP,US
15228,4,7057,0.04263028882020675%,75.21048705104977%,OREILLYMEDIA-AS1,US
15598,4,7061,0.04263028882020675%,75.25311733986997%,QSC-AG-IPX,DE
15685,4,7065,0.04263028882020675%,75.29574762869018%,CASABLANCA-AS Internet & Collocation Provider,CZ
15800,4,7069,0.04263028882020675%,75.33837791751039%,COORDINATOR-AS East-Ukrainian NIC,UA
15830,4,7073,0.04263028882020675%,75.3810082063306%,EQUINIX-CONNECT-EMEA,GB
16552,4,7077,0.04263028882020675%,75.4236384951508%,TIGGEE,US
17054,4,7081,0.04263028882020675%,75.46626878397102%,AS17054,US
17314,4,7085,0.04263028882020675%,75.50889907279121%,REDHAT-HOSTED,US
17623,4,7089,0.04263028882020675%,75.55152936161143%,CNCGROUP-SZ China Unicom Shenzen network,CN
17964,4,7093,0.04263028882020675%,75.59415965043164%,DXTNET Beijing Dian-Xin-Tong Network Technologies Co. Ltd.,CN
19237,4,7097,0.04263028882020675%,75.63678993925184%,OMNIS,US
19905,4,7101,0.04263028882020675%,75.67942022807205%,NEUSTAR-AS6,US
22611,4,7105,0.04263028882020675%,75.72205051689225%,IMH-WEST,US
23287,4,7109,0.04263028882020675%,75.76468080571246%,SCRIPPS,US
23352,4,7113,0.04263028882020675%,75.80731109453266%,SERVERCENTRAL,US
24638,4,7117,0.04263028882020675%,75.84994138335287%,RAMBLER-TELECOM-AS,RU
29789,4,7121,0.04263028882020675%,75.89257167217308%,REFLECTED,US
31898,4,7125,0.04263028882020675%,75.93520196099328%,ORACLE-BMC-31898,US
32097,4,7129,0.04263028882020675%,75.97783224981349%,WII,US
32748,4,7133,0.04263028882020675%,76.02046253863371%,STEADFAST,US
34010,4,7137,0.04263028882020675%,76.0630928274539%,YAHOO-IRD,GB
34762,4,7141,0.04263028882020675%,76.10572311627412%,COMBELL-AS,BE
35717,4,7145,0.04263028882020675%,76.14835340509431%,JEUXVIDEO-NETWORK,FR
36323,4,7149,0.04263028882020675%,76.19098369391453%,EZRI-36323,US
36352,4,7153,0.04263028882020675%,76.23361398273474%,AS-COLOCROSSING,US
36850,4,7157,0.04263028882020675%,76.27624427155494%,UNC-CH,US
40034,4,7161,0.04263028882020675%,76.31887456037515%,CONFLUENCE-NETWORK-INC,VG
41231,4,7165,0.04263028882020675%,76.36150484919536%,CANONICAL-AS,GB
41628,4,7169,0.04263028882020675%,76.40413513801556%,ALTERWAYHOSTING-NETWORK http://www.alterway.fr/,FR
43311,4,7173,0.04263028882020675%,76.44676542683577%,CCM-BENCHMARK-GROUP-AS,FR
46749,4,7177,0.04263028882020675%,76.48939571565597%,STANFORD-INTERNET-ACCESS,US
47002,4,7181,0.04263028882020675%,76.53202600447618%,TIGERTECH,US
47841,4,7185,0.04263028882020675%,76.57465629329639%,OXALIDE,FR
49505,4,7189,0.04263028882020675%,76.61728658211659%,SELECTEL,RU
53829,4,7193,0.04263028882020675%,76.6599168709368%,BELL-MEDIA,CA
53831,4,7197,0.04263028882020675%,76.702547159757%,SQUARESPACE,US
54058,4,7201,0.04263028882020675%,76.74517744857722%,RAKUTEN,US
59029,4,7205,0.04263028882020675%,76.78780773739742%,PEOPLENET People.Cn CO. LTD,CN
60885,4,7209,0.04263028882020675%,76.83043802621764%,ZENGENTI,GB
61157,4,7213,0.04263028882020675%,76.87306831503783%,PLUSSERVER-ASN1,DE
62041,4,7217,0.04263028882020675%,76.91569860385805%,TELEGRAM,RU
63410,4,7221,0.04263028882020675%,76.95832889267825%,PRIVATESYSTEMS,US
134771,4,7225,0.04263028882020675%,77.00095918149844%,CHINATELECOM-ZHEJIANG-WENZHOU-IDC WENZHOU ZHEJIANG Province P.R.China.,CN
136782,4,7229,0.04263028882020675%,77.04358947031866%,PINGTAN-AS-AP Kirin Networks,CN
209030,4,7233,0.04263028882020675%,77.08621975913886%,KL-KDP,RU
394901,4,7237,0.04263028882020675%,77.12885004795908%,VXCHNGE-TX01,US
398110,4,7241,0.04263028882020675%,77.17148033677928%,GO-DADDY-COM-LLC,US
3,3,7244,0.03197271661515507%,77.20345305339443%,MIT-GATEWAYS,US
62,3,7247,0.03197271661515507%,77.23542577000958%,CONE,US
70,3,7250,0.03197271661515507%,77.26739848662476%,NLM-GW,US
376,3,7253,0.03197271661515507%,77.2993712032399%,RISQ-AS,CA
513,3,7256,0.03197271661515507%,77.33134391985506%,CERN,CH
789,3,7259,0.03197271661515507%,77.36331663647022%,IN2P3 IN2P3 Autonomous System,EU
1820,3,7262,0.03197271661515507%,77.39528935308537%,WNET,US
1835,3,7265,0.03197271661515507%,77.42726206970052%,FSKNET-DK Forskningsnettet - Danish network for Research and Education,EU
2386,3,7268,0.03197271661515507%,77.45923478631568%,INS-AS,US
2510,3,7271,0.03197271661515507%,77.49120750293083%,INFOWEB FUJITSU LIMITED,JP
2576,3,7274,0.03197271661515507%,77.52318021954598%,DOT-AS,US
2639,3,7277,0.03197271661515507%,77.55515293616114%,ZOHO-AS,US
2830,3,7280,0.03197271661515507%,77.58712565277631%,MCI-DUAL-HOMED-CUSTOMERS,GB
2856,3,7283,0.03197271661515507%,77.61909836939145%,BT-UK-AS BTnet UK Regional network,GB
3215,3,7286,0.03197271661515507%,77.65107108600661%,France Telecom - Orange,FR
3265,3,7289,0.03197271661515507%,77.68304380262177%,XS4ALL-NL Amsterdam,NL
3313,3,7292,0.03197271661515507%,77.71501651923691%,INET-AS,IT
4583,3,7295,0.03197271661515507%,77.74698923585207%,WESTPUB-A,US
5403,3,7298,0.03197271661515507%,77.77896195246723%,AS5403,AT
5432,3,7301,0.03197271661515507%,77.81093466908239%,PROXIMUS-ISP-AS,BE
5539,3,7304,0.03197271661515507%,77.84290738569753%,SPACENET SpaceNET AG,DE
5723,3,7307,0.03197271661515507%,77.87488010231269%,JHU,US
6263,3,7310,0.03197271661515507%,77.90685281892785%,NDIN,US
6366,3,7313,0.03197271661515507%,77.938825535543%,PDXNET,US
7046,3,7316,0.03197271661515507%,77.97079825215816%,RFC2270-UUNET-CUSTOMER,US
7301,3,7319,0.03197271661515507%,78.00277096877332%,NAS-AS,US
7973,3,7322,0.03197271661515507%,78.03474368538846%,MAYO,US
8267,3,7325,0.03197271661515507%,78.06671640200362%,CYFRONET-AS Metropolitan Area Network Autonomous System,PL
8291,3,7328,0.03197271661515507%,78.09868911861878%,RSNET-AS RSNET,RU
8535,3,7331,0.03197271661515507%,78.13066183523394%,AGORA,PL
8839,3,7334,0.03197271661515507%,78.16263455184908%,SDV-AS SdV Plurimedia,FR
8891,3,7337,0.03197271661515507%,78.19460726846424%,FT/BGP/DM,FR
9123,3,7340,0.03197271661515507%,78.2265799850794%,TIMEWEB-AS,RU
9308,3,7343,0.03197271661515507%,78.25855270169455%,CHINA-ABITCOOL Abitcool(China) Inc.,CN
10439,3,7346,0.03197271661515507%,78.29052541830971%,CARINET,US
10913,3,7349,0.03197271661515507%,78.32249813492487%,INTERNAP-BLK,US
12257,3,7352,0.03197271661515507%,78.35447085154001%,EMC-AS12257,US
13446,3,7355,0.03197271661515507%,78.38644356815517%,AS-NETZERO,US
14153,3,7358,0.03197271661515507%,78.41841628477033%,EDGECAST-IR,US
17378,3,7361,0.03197271661515507%,78.45038900138549%,AS17378,US
17439,3,7364,0.03197271661515507%,78.48236171800063%,NETMAGIC-AP Netmagic Datacenter Mumbai,IN
17621,3,7367,0.03197271661515507%,78.51433443461579%,CNCGROUP-SH China Unicom Shanghai network,CN
18779,3,7370,0.03197271661515507%,78.54630715123095%,EGIHOSTING,US
19133,3,7373,0.03197271661515507%,78.5782798678461%,BIRD-HOSTING,US
19893,3,7376,0.03197271661515507%,78.61025258446126%,RAGINGWIRE,US
20546,3,7379,0.03197271661515507%,78.64222530107642%,SOPRADO-ANY,DE
20857,3,7382,0.03197271661515507%,78.67419801769157%,TRANSIP-AS Amsterdam the Netherlands,NL
21622,3,7385,0.03197271661515507%,78.70617073430672%,PR-NEWSWIRE-USA-1,US
22284,3,7388,0.03197271661515507%,78.73814345092188%,AS22284-DOI-OPS,US
22989,3,7391,0.03197271661515507%,78.77011616753703%,FREEASINFREEDOM,US
23816,3,7394,0.03197271661515507%,78.80208888415218%,YAHOO Yahoo Japan Corporation,JP
23820,3,7397,0.03197271661515507%,78.83406160076734%,RAKUTEN Rakuten Inc.,JP
24572,3,7400,0.03197271661515507%,78.8660343173825%,YAHOO-JP-AS-AP Yahoo Japan,JP
24611,3,7403,0.03197271661515507%,78.89800703399766%,DCLUX-AS 4 rue Graham Bell,LU
24763,3,7406,0.03197271661515507%,78.92997975061282%,THALES Thales Services SAS for Accor,FR
24843,3,7409,0.03197271661515507%,78.96195246722797%,ASFTVEN,FR
25273,3,7412,0.03197271661515507%,78.99392518384312%,BCELU S T N S,LU
25516,3,7415,0.03197271661515507%,79.02589790045828%,INIT-AS,DE
25657,3,7418,0.03197271661515507%,79.05787061707343%,BASECAMP,US
26810,3,7421,0.03197271661515507%,79.08984333368858%,HHSNET-NOC-ASN,US
28855,3,7424,0.03197271661515507%,79.12181605030374%,OCTOPUCE-AS,FR
29182,3,7427,0.03197271661515507%,79.1537887669189%,THEFIRST-AS,RU
30633,3,7430,0.03197271661515507%,79.18576148353405%,LEASEWEB-USA-WDC,US
33011,3,7433,0.03197271661515507%,79.21773420014921%,BOXNET,US
33905,3,7436,0.03197271661515507%,79.24970691676437%,AKAMAI-AMS,EU
34011,3,7439,0.03197271661515507%,79.28167963337953%,GD-EMEA-DC-CGN1,DE
34086,3,7442,0.03197271661515507%,79.31365234999467%,SCZN-AS,DE
35329,3,7445,0.03197271661515507%,79.34562506660983%,GD-EMEA-DC-CGN3,DE
36236,3,7448,0.03197271661515507%,79.37759778322499%,NETACTUATE,US
37936,3,7451,0.03197271661515507%,79.40957049984013%,SINA 15F Ideal Plaza No.58 Bei Si Huan Xi Road,CN
38283,3,7454,0.03197271661515507%,79.44154321645529%,CHINANET-SCIDC-AS-AP CHINANET SiChuan Telecom Internet Data Center,CN
38345,3,7457,0.03197271661515507%,79.47351593307044%,ZDNS Internet Domain Name System Beijing Engineering Resrarch Center Ltd.,CN
40444,3,7460,0.03197271661515507%,79.5054886496856%,ASN-CC,US
40528,3,7463,0.03197271661515507%,79.53746136630076%,ICANN-LAX,US
40676,3,7466,0.03197271661515507%,79.56943408291592%,AS40676,US
41552,3,7469,0.03197271661515507%,79.60140679953108%,MARKTPLAATS-AS,NL
41887,3,7472,0.03197271661515507%,79.63337951614622%,PROLOCATION Transit policy pref 100,NL
42848,3,7475,0.03197271661515507%,79.66535223276138%,EC-AS,LU
43350,3,7478,0.03197271661515507%,79.69732494937654%,NFORCE,NL
